time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
1483437600,37.9,99,37.6,2.02,4.2,57,65,4.3,0.1558
1483441200,38.5,98,38,1.53,2.65,79,79,4.2,0.1698
1483444800,38.8,97,38.1,1.13,1.58,45,55,3.5,0.1839
1483448400,39,97,38.2,1.04,1.49,17,20,2.8,0.1979
1483452000,38.7,99,38.4,1.41,2.2,315,321,2.7,0.2119
1483455600,38.4,100,38.3,1.78,3.41,322,328,3.1,0.2259
1483459200,38,100,37.9,2.58,4.88,306,317,4.5,0.2399
1483462800,37.2,99,37,3.16,5.73,305,313,5.8,0.2539
1483466400,36.4,99,36.2,2.13,4.53,319,329,6.2,0.2909
1483470000,36.2,99,36,3.31,5.52,295,302,6.1,0.3508
1483473600,35.7,99,35.5,3.32,5.46,291,296,6.8,0.4107
1483477200,35.4,100,35.3,3.57,5.7,288,292,6.9,0.4706
1483480800,35,99,34.8,4.85,8.14,278,281,9.2,0.5306
1483484400,34,97,33.2,5.87,10.41,284,286,11.7,0.5905
1483488000,33.7,95,32.3,4.84,8.32,288,290,12.1,0.6504
1483491600,32.6,95,31.2,5.95,10.11,278,279,11.7,0.7103
1483495200,32.3,93,30.6,5.85,9.93,278,279,12,0.7702
1483498800,31.9,91,29.4,7.26,11.81,277,278,14.2,0.8301
1483502400,28.7,88,25.5,7.41,11.93,272,274,14.9,0.89
1483506000,25.9,78,20,7.6,12.3,268,270,15,0.9207
1483509600,25.4,77,19.3,8.33,13.42,265,267,16.5,0.9221
1483513200,21.9,71,13.9,7.92,12.81,266,268,16.9,0.9235
1483516800,19.2,62,8.4,8.71,13.81,267,268,16.9,0.9248
1483520400,17.4,56,4.5,8.52,13.51,266,268,17.7,0.9262
1483524000,17.8,49,2,9.1,14.13,272,274,18.8,0.9276
1483527600,17.7,50,2,9.14,13.96,275,275,19.2,0.929
1483531200,17.7,48,1.5,9.1,13.81,271,272,18.7,0.9259
1483534800,17.1,47,0.2,9,13.9,270,270,18.6,0.9183
1483538400,16.1,46,-1.1,9,13.8,269,270,18.7,0.9107
1483542000,15.7,45,-2,8.8,13.7,269,270,18.2,0.9031
1483545600,14.8,49,-0.9,8.12,13.1,266,269,17.8,0.8955
1483549200,14.6,49,-1,8.2,13.42,271,273,17,0.8879
1483552800,14.1,52,-0.2,7.61,12.6,268,270,16.7,0.8775
1483556400,13.8,52,-0.6,7.5,12.4,268,270,16.9,0.8642
1483560000,13,55,-0.1,7.21,12.1,268,270,15.3,0.851
1483563600,12.6,55,-0.3,6.73,11.4,265,268,14.3,0.8378
1483567200,12.7,57,0.3,6.23,10.4,264,269,13.4,0.8246
1483570800,12.8,57,0.4,6.17,10.32,262,267,12.2,0.8114
1483574400,12.8,57,0.4,6.26,10.43,262,266,12.8,0.7982
1483578000,12.3,59,0.5,6.02,10.15,259,264,12.5,0.785
1483581600,11.5,59,0,5.67,9.63,261,265,12,0.7718
1483585200,11.3,58,-0.6,5.32,9.06,258,264,11.1,0.7586
1483588800,11.6,57,-0.8,5.29,8.96,255,259,10.6,0.7454
1483592400,11.6,57,-0.6,4.71,8.05,258,264,10.4,0.7322
1483596000,11.7,63,1.5,4.59,8.14,254,259,9.2,0.7191
1483599600,11.5,63,1.3,4.31,7.72,248,253,9.2,0.706
1483603200,12.1,61,1.3,3.92,7.28,251,254,8.7,0.693
1483606800,12.8,54,-0.6,5.46,8.67,262,263,11.3,0.6799
1483610400,13.3,53,-0.7,5.77,8.88,261,262,12.1,0.6668
1483614000,13.4,51,-1.3,5.61,8.63,259,260,12.2,0.6537
1483617600,13.4,50,-1.6,5.87,8.9,261,262,12.4,0.6569
1483621200,13,50,-2.1,5.85,9.07,262,263,12.4,0.6762
1483624800,13.1,48,-3,5.63,8.74,264,265,12.4,0.6956
1483628400,12.3,49,-3.5,5.45,8.76,263,263,11.8,0.715
1483632000,11.4,52,-2.7,4.41,7.71,257,260,11.2,0.7344
1483635600,10.3,55,-2.6,3.86,7.32,249,256,9,0.7537
1483639200,7.8,63,-2.1,4.43,8.13,242,249,7.9,0.7421
1483642800,6.4,65,-3,4.25,8.38,243,250,8.6,0.6993
1483646400,5.6,65,-3.5,4.16,8.13,246,254,8.3,0.6566
1483650000,4.7,67,-3.9,4.02,8.22,243,252,8.2,0.6139
1483653600,4,68,-4.2,3.61,7.67,251,258,7.9,0.5712
1483657200,2.7,71,-4.6,3.09,7.32,245,256,7.1,0.5284
1483660800,1.8,71,-5.3,3.13,7.62,243,253,6,0.4857
1483664400,1.3,72,-5.7,3.1,7.69,249,257,6.1,0.443
1483668000,0.7,71,-6.4,2.92,7.57,248,258,5.9,0.4003
1483671600,0.6,71,-6.6,3.01,7.71,249,257,5.7,0.3575
1483675200,0.4,71,-6.7,3.05,7.69,247,257,5.8,0.3148
1483678800,0,72,-7,2.91,7.57,243,255,5.7,0.2969
1483682400,0.9,73,-5.7,3.38,7.58,236,247,5.7,0.3038
1483686000,0.2,76,-5.7,3.22,7.78,244,252,6,0.3107
1483689600,1.6,76,-4.2,3.26,7.41,252,260,6.1,0.3177
1483693200,5.9,67,-2.6,3.58,6.39,247,253,7.3,0.3246
1483696800,8.9,59,-2.3,4.61,6.87,257,257,9.4,0.3315
1483700400,10.5,53,-3.3,4.34,6.36,262,262,9.8,0.3384
1483704000,11.4,50,-3.8,4.3,6.31,269,267,9.5,0.3349
1483707600,12.1,49,-3.6,4.2,6.31,267,266,9.6,0.3211
1483711200,12.3,48,-3.5,4,6.3,269,268,9.3,0.3072
1483714800,11.8,50,-3.1,3.41,5.9,267,268,8.8,0.2934
1483718400,9.1,60,-1.9,1.97,5.24,246,257,7.1,0.2795
1483722000,5.7,65,-3.5,2.26,6.26,225,241,3.9,0.2657
1483725600,5.2,67,-3.4,2.84,7.11,231,242,4,0.2634
1483729200,6.9,59,-4.3,3.68,6.95,227,240,5.9,0.2727
1483732800,7,57,-5.1,3.72,7.16,234,243,6.1,0.282
1483736400,7.2,55,-5.6,3.68,7.11,248,256,6,0.2913
1483740000,7,55,-5.7,3.68,6.96,248,258,5.9,0.3006
1483743600,6.6,58,-5,4.07,7.62,245,253,6.7,0.3098
1483747200,6.3,63,-3.8,3.98,7.47,252,258,6.9,0.3191
1483750800,5.8,66,-3.2,3.83,7.32,255,260,6.7,0.3284
1483754400,5.2,68,-3,3.67,6.87,259,262,6.6,0.3377
1483758000,5,69,-2.9,3.32,6.4,254,260,6.1,0.347
1483761600,4.8,71,-2.4,3.2,6.15,256,263,5.5,0.3563
1483765200,4.6,75,-1.7,3.2,6.08,250,261,5.2,0.3896
1483768800,3.3,81,-1.3,3.04,6.99,243,253,5.2,0.4468
1483772400,3.7,82,-0.6,3.74,7.04,236,247,6.2,0.504
1483776000,5.5,78,0.1,3.7,6.89,232,242,6.8,0.5612
1483779600,9.5,66,0.3,4.17,6.22,240,242,8.4,0.6185
1483783200,11.9,50,-3.2,4.71,6.73,258,259,10.2,0.6757
1483786800,12.5,45,-4.8,5.15,7.37,262,262,11,0.7329
1483790400,13.2,43,-5.1,5.46,7.99,262,261,11.8,0.7461
1483794000,13.8,42,-5,5.71,8.34,259,260,12.2,0.7152
1483797600,13.6,42,-5.1,5.67,8.39,261,262,12.3,0.6842
1483801200,13.4,43,-5,5.64,8.64,263,265,11.9,0.6533
1483804800,13,46,-4,4.96,8.36,261,263,11.6,0.6223
1483808400,12.8,51,-1.9,4.83,8.11,264,268,9.9,0.5914
1483812000,10.3,60,-0.8,4.75,8.62,262,266,10.6,0.5923
1483815600,10.3,58,-1.7,5.3,9.34,272,276,10.1,0.625
1483819200,9.4,61,-1.4,5.82,10.1,275,278,11.3,0.6577
1483822800,8.7,68,0.5,5.7,10.03,269,275,11.3,0.6904
1483826400,9,70,1.3,5.72,10.1,275,281,11.6,0.7231
1483830000,9.3,66,0.3,5.73,9.93,282,289,11.2,0.7558
1483833600,9.2,65,-0.3,5.82,10.23,286,292,11.2,0.7885
1483837200,8.8,65,-0.4,6.36,11.02,289,294,12.4,0.8212
1483840800,8.6,67,-0.1,5.85,10.18,287,293,12.4,0.8539
1483844400,8.4,70,0.7,5.79,9.95,288,292,11.4,0.8866
1483848000,8.3,72,1,5.54,9.68,287,293,11.1,0.9193
1483851600,8.2,72,1,5.35,9.39,291,297,10.8,0.9096
1483855200,8.8,69,0.6,5.85,10.2,303,307,10.3,0.8574
1483858800,8.5,64,-1.2,5.66,9.78,306,311,11.6,0.8053
1483862400,9.1,59,-2.3,5.48,9.4,308,315,11.1,0.7531
1483866000,11,48,-5,6.52,9.95,319,321,13.6,0.701
1483869600,12.5,45,-4.8,5.66,8.35,315,317,13.4,0.6488
1483873200,14.4,42,-4.7,5.31,7.57,313,314,12,0.5967
1483876800,15.5,42,-3.5,4.66,6.58,305,306,11.6,0.5449
1483880400,16.3,44,-1.7,4.38,6.17,297,297,10.5,0.4934
1483884000,17.4,44,-1.1,4.31,6.28,292,292,10,0.4418
1483887600,17.6,42,-1.5,3.88,5.75,282,283,9.6,0.3903
1483891200,16.5,47,-0.1,2.77,4.62,257,265,8,0.3388
1483894800,15.2,51,0.2,2.86,5.13,216,237,4.8,0.2873
1483898400,10,60,-1.1,2.58,6.4,216,231,5.2,0.2871
1483902000,11.4,55,-1.6,3.55,6.72,212,223,6.2,0.3381
1483905600,11.4,55,-1.6,3.55,6.68,212,219,6.4,0.3892
1483909200,12,54,-1.6,3.54,6.46,209,215,6.5,0.4402
1483912800,12.6,52,-1.6,3.64,6.66,201,208,6.9,0.4913
1483916400,12.9,51,-2.1,3.79,7.28,192,196,7.2,0.5423
1483920000,13,51,-1.9,3.91,7.91,193,198,7.9,0.5934
1483923600,13.4,52,-1.1,4.22,8.38,194,200,8.4,0.6444
1483927200,13.8,54,0.4,4.22,9.22,185,195,8.5,0.6955
1483930800,14.2,58,2.2,4.34,10.29,188,196,7.8,0.7465
1483934400,14.9,57,2.4,4.2,9.05,192,196,8.9,0.7976
1483938000,14.9,59,3.1,4.06,8.86,190,196,7.8,0.8088
1483941600,15.6,63,5.3,5.02,11.35,193,198,8.7,0.7802
1483945200,16.5,60,4.9,5.91,10.58,208,211,12.9,0.7516
1483948800,17.7,57,5,4.74,8.77,198,204,11.8,0.723
1483952400,19.7,51,4.3,5.55,8.72,206,208,11.2,0.6944
1483956000,22.9,45,4.9,5.69,8.52,214,216,12.2,0.6657
1483959600,25.2,44,6.4,5.25,7.79,220,222,12,0.6371
1483963200,26.8,45,8.1,5.33,7.68,236,235,11.5,0.5933
1483966800,27.7,44,8.6,4.66,6.8,235,237,11.5,0.5341
1483970400,28.3,44,9.2,4.55,6.74,237,238,10.2,0.475
1483974000,28.2,46,10.2,4.44,6.85,234,236,9.6,0.4159
1483977600,26.7,51,11.1,2.3,4.74,214,224,8.9,0.3568
1483981200,24.4,57,11.4,2.4,4.96,182,199,4.1,0.2977
1483984800,23.3,65,13.2,3.11,6.43,184,192,4.8,0.2976
1483988400,24,61,12.4,3.5,6.53,178,185,6.8,0.3566
1483992000,23.6,60,11.7,3.6,6.74,180,186,6.8,0.4156
1483995600,23.8,58,11.1,4.13,7.5,173,179,7.9,0.4746
1483999200,23.7,59,11.5,3.9,7.41,180,183,7.9,0.5337
1484002800,24.9,61,13.2,4,7.03,181,186,7.8,0.5927
1484006400,25.2,65,15,4,7.01,179,183,7.8,0.6517
1484010000,25.2,71,17,4.43,7.72,174,176,8.5,0.7107
1484013600,24.9,79,19.5,4.59,8.75,169,174,8.9,0.7697
1484017200,25.1,85,21.3,5.32,9.38,168,173,10.4,0.8287
1484020800,26.1,87,22.9,4.96,8.64,171,175,10.4,0.8877
1484024400,26.8,88,23.8,5.56,9.65,172,174,10.9,0.9142
1484028000,28,88,24.9,5.87,10.06,171,174,11.8,0.9083
1484031600,28.6,87,25.3,5.77,9.87,171,173,11.6,0.9023
1484035200,29.4,87,25.8,6.03,10.22,174,176,11.9,0.8964
1484038800,30.4,86,26.7,4.9,11.43,163,171,11.9,0.8905
1484042400,31.1,89,28.2,5.25,12.63,162,172,9.5,0.8845
1484046000,32.1,91,29.8,5.82,13.83,164,172,10.5,0.8786
1484049600,33.7,90,31.2,5.6,12.99,161,170,11.1,0.8797
1484053200,35.7,88,32.6,7.4,12.9,178,180,15.8,0.888
1484056800,37.8,88,34.7,8.61,14.55,183,185,17.4,0.8962
1484060400,39.4,89,36.4,9.15,15.42,186,187,25.4,0.9044
1484064000,41.1,88,37.7,9.48,15.95,187,188,26.4,0.9127
1484067600,43,83,38.3,9.8,16.39,188,189,19.8,0.9209
1484071200,43.9,88,40.5,10.62,17.59,194,195,28.5,0.9228
1484074800,45.3,87,41.6,10.4,17.48,203,203,21.6,0.9183
1484078400,46,87,42.5,9.72,16.28,217,217,21.1,0.9138
1484082000,41.2,81,35.8,9.85,16.29,241,241,19.9,0.9094
1484085600,36.5,87,33,10.09,16.67,250,250,23.9,0.9049
1484089200,33.2,82,28.3,10.29,16.86,254,255,23.3,0.9005
1484092800,32.3,77,25.8,9.59,15.87,254,255,20.8,0.896
1484096400,31.4,78,25.3,9.05,15.08,250,251,19.5,0.8915
1484100000,29.7,74,22.5,9.11,15.07,253,254,18.7,0.8871
1484103600,27.5,72,19.6,8.15,13.75,256,257,18.5,0.8826
1484107200,24.9,74,17.9,6.87,11.96,254,256,16.4,0.8782
1484110800,23.1,78,17.1,6.14,11.06,254,255,13.5,0.8652
1484114400,24.8,79,19.2,5.7,10.56,248,251,11.9,0.8439
1484118000,25.6,78,19.7,4.88,9,242,246,11,0.8225
1484121600,26.5,77,20.3,4.03,7.5,226,233,9.2,0.8011
1484125200,30.2,69,21.3,3.9,6.17,203,207,8,0.7797
1484128800,33.4,65,22.8,4.8,7.21,181,183,9.7,0.7583
1484132400,34.4,64,23.4,5.63,8.78,186,188,12.1,0.7369
1484136000,35.5,63,24,4.71,8.1,176,181,11.6,0.7431
1484139600,37.1,65,26.5,3.8,9.73,178,185,9.4,0.7767
1484143200,39.6,61,27.1,6.11,10.75,195,198,11.8,0.8104
1484146800,41.5,64,30.2,6.31,11.26,195,198,12.9,0.844
1484150400,42,69,32.7,6.1,11.25,190,194,12.7,0.8777
1484154000,43.4,77,36.7,6.53,12.08,185,190,12.8,0.9113
1484157600,42.9,91,40.5,6.32,11.45,191,192,12.9,0.9128
1484161200,44.3,96,43.2,5.26,9.39,201,199,12.4,0.8823
1484164800,42.8,98,42.1,2.06,4.64,293,277,10,0.8517
1484168400,39.7,97,38.9,2.26,5.6,13,1,5.4,0.8211
1484172000,37.9,97,37.2,2.68,5.28,27,27,14.5,0.7906
1484175600,35.2,93,33.3,4.25,7.96,24,25,17.7,0.76
1484179200,33,96,32.1,5.48,9.78,339,344,10.7,0.7294
1484182800,30,92,28,5.5,8.9,358,360,11.2,0.6989
1484186400,28.6,92,26.5,5.1,8.24,349,350,10.8,0.6683
1484190000,28.2,91,25.8,3.57,6.64,349,354,9.8,0.6377
1484193600,28.1,90,25.6,3.16,5.92,349,355,6.7,0.6072
1484197200,27.8,89,25.1,3.18,5.72,347,355,6.1,0.555
1484200800,28.3,87,25,3.3,6.01,358,3,5.8,0.4814
1484204400,28.4,87,25,1.82,3.45,9,17,6.3,0.4077
1484208000,28.6,87,25.2,2.19,4.21,313,342,4.2,0.3341
1484211600,29,85,24.9,2.57,3.88,347,348,5.3,0.2604
1484215200,28.7,85,24.9,2.53,3.82,351,354,6.3,0.1867
1484218800,28.9,83,24.3,2.88,4.08,326,329,9.8,0.1131
1484222400,28.5,81,23.6,2.94,4.3,325,324,10.2,0.0832
1484226000,28,80,22.6,3.54,5.3,315,316,7.6,0.097
1484229600,27.2,80,21.7,3.54,5.45,313,313,8.3,0.1108
1484233200,26.2,80,20.8,3.02,4.88,304,305,7.7,0.1246
1484236800,25,82,20.4,2.65,5.07,281,285,6.6,0.1384
1484240400,22.8,86,19.3,3.01,6.58,274,279,5.8,0.1522
1484244000,23.5,83,19.2,3.73,7.01,262,267,6.6,0.177
1484247600,22.6,81,17.7,4.03,7.51,256,260,7.2,0.2128
1484251200,22.5,79,17,4.46,8.39,250,255,7.9,0.2487
1484254800,23.6,74,16.7,5.61,10.01,266,268,10.5,0.2845
1484258400,22.2,67,13,6,10.43,272,274,12.2,0.3204
1484262000,20,71,12,5.56,9.69,278,281,11.9,0.3562
1484265600,18.2,71,10.5,5.29,9.27,285,288,10.9,0.3921
1484269200,17.4,70,9.2,4.98,8.86,292,295,10.2,0.428
1484272800,16.7,69,8.4,4.44,7.83,293,297,9.5,0.4638
1484276400,15.2,73,8,4.03,7.2,293,297,8.2,0.4997
1484280000,14.3,74,7.5,3.83,6.93,290,297,7.1,0.5355
1484283600,13.8,75,7.2,3.64,6.75,291,297,6.5,0.5212
1484287200,14.5,74,7.7,2.47,5.99,284,296,6.4,0.4568
1484290800,11.2,78,5.7,2.35,5.15,282,299,4.3,0.3924
1484294400,13.9,76,7.7,1.71,5.05,291,304,3.8,0.328
1484298000,17.6,64,7.5,3.34,5.62,321,321,7.2,0.2635
1484301600,18.6,59,6.9,3.02,4.69,326,326,7.6,0.1991
1484305200,19.3,56,6.1,2.78,4,322,323,7,0.1347
1484308800,19.6,55,6,2.5,3.66,323,325,6.4,0.0956
1484312400,19.8,55,6.3,2.02,3.14,327,329,6.1,0.0818
1484316000,19.7,57,6.9,1.66,2.64,327,331,5.1,0.068
1484319600,19.2,60,7.7,0.94,1.97,328,330,4.3,0.0542
1484323200,16.1,69,7.8,1.53,2.26,349,347,2.9,0.0404
1484326800,13.6,70,5.7,2.24,3.13,10,7,3.2,0.0266
1484330400,15.4,67,6.5,1.73,2.55,350,349,3.5,0.0208
1484334000,17,62,6.2,1.55,2.92,15,6,3.2,0.0231
1484337600,16.1,63,5.6,1.62,2.94,22,18,3.2,0.0254
1484341200,15.2,64,5.1,1.7,3.01,3,21,3.2,0.0277
1484344800,14.8,63,4.5,1.51,3.06,8,38,3.3,0.03
1484348400,15.8,61,4.6,1,2.48,354,50,3.2,0.0323
1484352000,16.3,60,5,0.81,1.92,330,51,2.8,0.0346
1484355600,16.4,61,5.1,0.36,1.32,304,81,2.5,0.0369
1484359200,16.9,60,5.3,0.4,1.3,270,157,2,0.0392
1484362800,18.9,58,6.6,0.7,2.3,180,178,2.5,0.0415
1484366400,20.2,58,7.7,1.5,3.11,180,184,3.4,0.0438
1484370000,19.7,62,8.7,1.82,3.52,171,187,3.5,0.0431
1484373600,16.6,78,10.9,2.2,3.72,177,186,3.8,0.0392
1484377200,19,68,10.3,1.81,3.71,174,185,3.9,0.0354
1484380800,20,64,9.9,1.8,3.22,177,187,4.2,0.0316
1484384400,22,59,9.7,1.75,2.66,193,200,4.5,0.0277
1484388000,24.3,55,10.5,1.92,2.87,208,209,5.1,0.0239
1484391600,25.8,54,11.4,2.2,3.12,231,230,5.6,0.02
1484395200,27.1,52,12,2.33,3.22,239,240,5.8,0.0385
1484398800,28.2,50,12,2.38,3.42,255,255,5.8,0.0791
1484402400,28.7,49,11.9,2.53,3.57,261,259,6,0.1198
1484406000,28.5,49,11.9,2.6,3.81,270,267,6,0.1605
1484409600,25.6,59,13.2,2.31,4.72,265,265,5.5,0.2012
1484413200,22.6,64,12.3,2.84,5.74,260,263,4.3,0.2418
1484416800,19,72,11.5,2.14,6.34,259,264,5.2,0.2561
1484420400,21.6,64,11.4,2.97,6.46,250,262,5,0.2439
1484424000,21.7,63,10.9,3.1,6.59,249,260,5.2,0.2316
1484427600,22,62,10.9,3.2,6.81,256,267,5.3,0.2194
1484431200,22.2,64,11.9,3.5,7.26,270,277,6,0.2072
1484434800,21.8,74,14.9,3.71,7.28,284,291,6.7,0.195
1484438400,20.9,86,17.3,3.44,6.74,296,302,6.6,0.1828
1484442000,20.2,87,17,3.22,6.28,300,307,6,0.1706
1484445600,19.5,88,16.5,2.87,5.69,299,309,5.5,0.1584
1484449200,18.9,89,16.1,2.61,5.02,302,313,4.8,0.1461
1484452800,18.6,89,15.8,2.22,4.33,306,320,4.1,0.1339
1484456400,18.4,89,15.7,1.84,3.47,283,314,3.4,0.12
1484460000,15.9,92,14.1,2.3,3.05,268,302,2.9,0.1042
1484463600,16.8,94,15.5,1.97,2.62,246,288,2.9,0.0885
1484467200,18.2,91,16.1,1.5,2.1,233,273,3.6,0.0728
1484470800,22.7,78,16.8,1.08,1.48,236,242,3.7,0.0571
1484474400,26.1,64,15.7,0.94,1.25,212,209,3.9,0.0414
1484478000,28.9,52,13.4,1.61,2.2,210,210,5.1,0.0257
1484481600,30.7,47,12.6,1.8,2.39,214,213,5.5,0.0183
1484485200,32.1,44,12.6,2.28,3.08,218,216,6,0.0192
1484488800,32.3,44,12.9,2.27,3.05,221,221,6.3,0.0202
1484492400,31.9,46,13.4,2.42,3.56,218,218,5.7,0.0211
1484496000,26.7,59,14.2,2.39,3.24,237,236,5,0.022
1484499600,25.4,62,14.3,1.53,3.61,212,226,3.1,0.023
1484503200,21.2,75,14.6,2.56,5.8,231,234,3.4,0.0485
1484506800,24.1,71,15.9,2.61,5.59,238,241,4.1,0.0987
1484510400,24,71,16,2.84,6.28,231,239,4.7,0.1489
1484514000,24.1,71,16.2,3,6.59,233,240,5,0.199
1484517600,24.4,72,16.6,3.28,7.02,239,244,5.5,0.2492
1484521200,24.4,73,17,3.28,7.12,239,246,5.6,0.2994
1484524800,24.3,75,17.4,3.36,7.22,233,239,6,0.3495
1484528400,24,77,17.8,3.14,6.76,233,241,5.8,0.3997
1484532000,23.5,80,18.2,3.12,6.64,230,239,5.5,0.4499
1484535600,23.1,82,18.5,3.14,6.67,233,240,5.3,0.5001
1484539200,23.5,81,18.6,3.3,6.95,235,240,6,0.5502
1484542800,23.6,81,18.6,3,6.4,233,241,5.8,0.5426
1484546400,23.5,85,19.6,2.86,6.41,234,239,5.2,0.4771
1484550000,22.9,86,19.2,3.11,6.46,228,235,5.2,0.4116
1484553600,24.8,80,19.5,3.11,6.18,222,231,5.7,0.3461
1484557200,28.4,70,19.9,2.77,5.45,221,226,5.8,0.2806
1484560800,32.4,59,19.8,2.26,3.47,225,226,6,0.2151
1484564400,35.7,50,19.1,2.42,3.56,218,218,5.8,0.1496
1484568000,38.1,43,17.7,2.42,3.42,218,218,6,0.1232
1484571600,38.2,43,17.5,2.25,3.19,212,212,5.8,0.1359
1484575200,36.6,47,18.3,2.01,3.09,207,209,5.2,0.1485
1484578800,35.7,49,18.4,1.7,3.09,208,209,4.7,0.1612
1484582400,33.6,55,19.1,1.68,3.83,197,200,3.8,0.1738
1484586000,31.6,61,19.5,1.92,4.46,189,196,3.4,0.1865
1484589600,30.2,82,25.4,2.57,5.06,193,198,4,0.2227
1484593200,29.8,92,27.6,2.6,5.54,180,187,5,0.2824
1484596800,30.2,93,28.4,2.22,4.85,144,158,4.8,0.3422
1484600400,30.5,93,28.7,2.83,5.72,135,144,5.2,0.4019
1484604000,30.8,93,29.1,2.9,6.02,134,138,5.6,0.4617
1484607600,31.2,93,29.4,2.84,5.99,141,147,5.5,0.5214
1484611200,31.4,93,29.6,3.26,6.5,117,127,6,0.5812
1484614800,31.6,93,29.7,4.2,8.08,115,121,8,0.6409
1484618400,31.8,92,29.8,4.3,8.18,126,129,8.5,0.7006
1484622000,32.1,92,30.1,4.56,8.61,116,121,8.9,0.7604
1484625600,32.4,93,30.5,4.35,8.41,113,118,8.9,0.8201
1484629200,32.9,93,31.2,4.27,8.19,106,114,8.5,0.8119
1484632800,34.1,94,32.5,4.63,8.64,104,110,9.4,0.7357
1484636400,34.5,95,33.3,3.74,7.45,106,112,8.8,0.6595
1484640000,34.6,97,33.8,2.51,5.79,95,111,7.1,0.5833
1484643600,35.2,97,34.5,3,6.46,92,106,5.7,0.5071
1484647200,36.6,96,35.6,3.98,7.65,102,107,7.7,0.4309
1484650800,36.5,97,35.6,3.42,6.76,111,114,7.7,0.3547
1484654400,36.3,98,35.7,2.51,5.51,113,119,6.6,0.298
1484658000,36.2,98,35.7,1.7,4.42,118,128,4.8,0.2608
1484661600,35.9,98,35.5,1.52,2.85,157,162,3.2,0.2236
1484665200,36.3,97,35.5,1.51,3.47,278,258,2.5,0.1864
1484668800,36,98,35.6,2.21,5.26,275,284,4.2,0.1492
1484672400,35.3,99,35.1,2.1,4.96,273,289,4.3,0.112
1484676000,35.5,99,35.2,3.42,6.79,255,261,5.1,0.0995
1484679600,34.1,99,33.9,4.32,8,265,270,8.1,0.1118
1484683200,33.5,99,33.3,4.1,7.73,269,275,8.2,0.124
1484686800,33.3,100,33.2,3.7,7.16,272,277,7.8,0.1362
1484690400,33.2,99,33,3.61,6.97,273,278,7,0.1484
1484694000,33,99,32.8,3.51,6.81,273,280,6.8,0.1606
1484697600,32.9,99,32.6,3.41,6.59,273,280,6.7,0.1728
1484701200,32.8,99,32.4,3.24,6.4,279,284,6.5,0.1851
1484704800,32.5,99,32.2,2.75,5.57,280,288,6.3,0.1973
1484708400,32.2,99,32,2.55,5.28,281,289,5.3,0.2095
1484712000,32.1,99,31.9,2.95,5.91,294,298,5.7,0.2217
1484715600,32,99,31.7,2.31,4.79,288,296,5.6,0.2331
1484719200,32.4,99,32.2,2,3.95,267,279,4.4,0.2436
