,Date,Close,Volume,mom,mom1,mom2,mom3,ROC_5,ROC_10,ROC_15,ROC_20,EMA_10,EMA_20,EMA_50,EMA_200,DTB4WK,DTB3,DTB6,DGS5,DGS10,Oil,Gold,DAAA,DBAA,GBP,JPY,CAD,CNY,AAPL,AMZN,GE,JNJ,JPM,MSFT,WFC,XOM,FCHI,FTSE,GDAXI,GSPC,HSI,IXIC,SSEC,RUT,NYSE,TE1,TE2,TE3,TE5,TE6,DE1,DE2,DE4,DE5,DE6,CTB3M,CTB6M,CTB1Y,AUD,Brent,CAC.F,copper.F,WIT.oil,DAX.F,DJI.F,EUR,FTSE.F,gold.F,HSI.F,KOSPI.F,NASDAQ.F,GAS.F,Nikkei.F,NZD,silver.F,RUSSELL.F,S.P.F,CHF,Dollar.index.F,Dollar.index,wheat.F,XAG,XAU
216,14921,11406.83984,-2.732717378,-0.003254105,0.000808077,0.019590496,0.002360427,2.536893162,2.174748799,2.361420713,3.601160415,11270.64262,11164.4952,10923.00412,10603.78129,0.12,0.13,0.16,1.13,2.6,0.002533103,-0.005016123,4.79,5.85,-0.004084532,0.004506264,-0.002623625,-0.000977106,0.004698363,0.007144118,-0.001195517,-0.004949729,-0.0105032,-0.001489795,-0.006160096,0.004571429,-0.000773612,-0.004323093,-0.000547836,-0.002120958,0.003519293,0.00041492,0.009590964,0.00024436,-0.002366461,2.48,2.47,2.44,0.01,0.04,1.06,3.25,5.69,5.72,5.73,0,0.078947368,0.027272727,-0.3,0.4,-0.05,0.23,0.24,0.07,-0.12,-0.81,-0.2,0.39,0.43,0.16,-0.03,3.84,0.73,-1.17,1.8,-0.14,-0.16,0.53,0.61,0.63,1.1,3.63,1.12
217,14922,11346.75,-1.614411207,-0.005267878,-0.003254105,0.000808077,0.019590496,1.412407111,1.587274941,3.353152574,2.961322615,11284.48033,11181.8528,10939.6216,10611.17402,0.11,0.13,0.16,1.27,2.72,-0.00034455,0.023406554,4.93,5.97,-0.005754012,-0.000616256,0.0045009,0.003821963,-0.007971898,-0.010000587,-0.005385877,-0.000310959,-0.015057912,0.005222007,-0.031336156,0.004408376,0.008178964,0.004307726,0.005527007,-0.0080523,-0.010165269,-0.006616178,-0.007758149,-0.014645058,-0.010265752,2.61,2.59,2.56,0.02,0.05,1.04,3.25,5.81,5.84,5.86,0,0.12195122,0.123893805,-0.99,-0.15,0.76,2.2,-0.39,0.53,-0.43,-1.02,0.43,0.5,-0.78,0.34,-0.35,2.98,-0.31,-1.27,5.37,-1.18,-0.74,0.13,0.54,0.53,-2.27,-3.03,-1.31
218,14923,11357.04004,-0.360909814,0.000906871,-0.005267878,-0.003254105,0.000808077,1.265345631,2.07400641,2.242266752,2.351821176,11297.673,11198.5373,10955.99095,10618.59557,0.12,0.13,0.16,1.23,2.65,0.008386949,-0.021463758,4.92,5.96,-0.007215681,0.006079714,0.002588868,-0.005651157,0.006169359,0.017971445,-0.004211913,-0.005597839,0.018045037,-0.000371058,0.015997192,0.007079145,-0.014511966,-0.009923116,-0.010013571,0.004376081,-0.008497982,0.006164718,-0.006266042,0.012245537,0.005861865,2.53,2.52,2.49,0.01,0.04,1.04,3.31,5.8,5.83,5.84,0,-0.043478261,-0.031496063,0.27,0.71,-1.32,-1.83,1.26,-0.96,-0.1,0.04,-0.94,-0.76,-1.18,1.25,-0.08,-3.9,1.24,0.7,-7.06,0.81,0.25,0.23,0.24,0.25,-1.53,1.49,0.92
219,14924,11283.09961,-64.99432039,-0.006510537,0.000906871,-0.005267878,-0.003254105,-1.326999215,1.52195584,1.224854751,1.699293354,11295.02329,11206.59085,10968.81875,10625.20755,0,0,0,0,0,0,0.005753326,4.92,5.97,0.007641875,0.007611904,-0.006654087,-0.00135675,-0.004339238,-0.017077292,-0.012084533,-0.000469163,-0.014771025,-0.009651113,-0.013645871,0.009841207,-0.005426289,-0.000292202,0.000531309,-0.004242127,0.008150467,-0.009019772,0.010396224,-0.004476952,-0.003126151,0,0,0,0,0,1.05,5.97,5.97,5.97,5.97,-1,-1,-1,-0.84,-0.17,-0.52,1.31,0,0.02,-0.53,-0.91,-0.03,0.29,1.07,-0.43,-0.09,-2.94,0.51,-0.52,2.01,-0.18,-0.25,0.59,0.76,0.76,-0.7,1.65,0.4
220,14925,11192.58008,-1.023408808,-0.008022577,-0.006510537,0.000906871,-0.005267878,-2.197642784,0.666366048,0.53914383,1.173301845,11276.39725,11205.25649,10977.5937,10630.85305,0.11,0.13,0.17,1.35,2.76,-0.032813034,-0.007150518,4.95,6,-0.001030872,0.002505985,0.0039992,-0.001434071,-0.027222517,-0.027528333,-0.006116208,-0.003911139,-0.010244853,-0.015367316,-0.023057821,-0.011694334,-0.009368167,-0.003146976,0.001665778,-0.011808492,-0.019340684,-0.014599791,-0.051563546,-0.01682659,-0.012947933,2.65,2.63,2.59,0.02,0.06,1.05,3.24,5.83,5.87,5.89,0,0,0,-1.08,-2.78,-0.6,-3.21,-3.34,0.1,-0.8,0.26,-0.33,-2.69,-1.95,-2.29,-1.78,-3.26,-1.22,-0.53,-5.34,-1.67,-1.28,0.46,-0.17,-0.18,-5.04,-6.03,-2.87
221,14928,11201.96973,-1.052179334,0.000838917,-0.008022577,-0.006510537,0.000906871,-1.796028697,0.695301136,0.339660989,0.522980223,11262.86498,11204.94347,10986.39276,10636.5358,0.12,0.14,0.19,1.51,2.92,-0.0001178,-0.014404033,5.07,6.12,0.001451665,0.000728031,0.006174069,0.001995465,-0.003213914,-0.040922256,-0.003076862,0.007381828,0.011865715,-0.002664598,0.003994154,-0.00718404,0.008644958,0.004053891,0.00824993,-0.001217436,-0.008066869,-0.001743259,0.009706467,0.000931475,-0.00075171,2.8,2.78,2.73,0.02,0.07,1.05,3.2,5.93,5.98,6,0.117647059,0.039215686,0.118518519,-0.18,0.42,0.86,0.87,-0.02,0.75,0.19,-0.78,0.32,0.22,-1.1,0.08,-0.27,1.21,0.82,-0.14,0.35,0.14,0.02,0.45,0.56,0.56,0.19,-2,-0.69
222,14929,11023.5,-47.556713,-0.015931995,0.000838917,-0.008022577,-0.006510537,-2.848833366,-1.476663381,-1.306777244,0.408793478,11219.34407,11187.66314,10987.84795,10640.38619,0.13,0.15,0.19,1.49,2.85,-0.030042413,-0.014249178,4.95,6,-0.005326421,0.008390954,-0.000692795,0.000739266,-0.017750143,-0.007048427,-0.020987715,-0.015590895,-0.011726571,-0.014885572,-0.016636492,-0.021850184,-0.026336361,-0.023795616,-0.018693153,-0.016205414,-0.01390759,-0.017495278,-0.039767277,-0.020279433,-0.019019324,2.72,2.7,2.66,0.02,0.06,1.05,3.15,5.81,5.85,5.87,0,-0.037735849,-0.013245033,-0.81,-2.27,-2.68,-5.07,-2.97,-1.66,-1.69,-0.68,-2.19,-2.2,-1.42,-0.68,-1.75,-0.7,-0.41,-0.5,-3.29,-2.04,-1.76,1.14,0.84,0.88,-6.53,-0.12,-1.37
223,14930,11007.87988,-0.510032363,-0.001416983,-0.015931995,0.000838917,-0.008022577,-3.074393987,-1.847950065,-1.064150705,-0.901063349,11180.89604,11170.54092,10988.63351,10644.04285,0.13,0.14,0.19,1.49,2.89,-0.023077857,-0.008524833,4.97,6.02,-0.009722548,0.002621317,0.011983758,-0.000542733,-0.003614218,0.00361267,-0.003152585,-0.001266994,-0.01085587,-0.009298683,-0.012136815,0.001015376,0.007941625,0.001883207,0.005527279,0.000212163,-0.020198295,0.002498106,-0.019236628,0.003445137,0.002158528,2.76,2.75,2.7,0.01,0.06,1.05,3.13,5.83,5.88,5.89,0,-0.019607843,0,0.17,-1.71,0.8,0.11,-2.31,0.43,0.1,0.19,0.15,-0.11,-1.61,-0.1,0.3,5.55,0.51,0.39,1.1,0.23,0.23,-0.58,-0.15,-0.16,1,0.55,-0.27
224,14931,11181.23047,-0.245761576,0.015747863,-0.001416983,-0.015931995,0.000838917,-0.902847121,-2.217865562,0.605367784,0.310949064,11180.95684,11171.55897,10996.18633,10649.388,0.13,0.15,0.19,1.51,2.9,0.018028099,0.00953271,4.98,6.02,0.002133172,-0.003358108,0.001272265,0.000573196,0.026389372,0.036753974,0.014547818,0.012210609,0.012251149,0.010559249,0.024199515,0.018837791,0.019940109,0.013368249,0.019707263,0.015357313,0.018218372,0.01550474,0.009368197,0.01846646,0.017516943,2.77,2.75,2.71,0.02,0.06,1.04,3.12,5.83,5.87,5.89,0,0.04,0.013422819,1.1,2.13,1.93,2.74,1.75,1.84,1.65,0.93,1.28,1.2,1.47,1.64,1.78,-0.57,1.53,1.05,5.19,2.12,1.72,0.47,-0.61,-0.58,2.09,5.11,1.24
225,14932,11203.54981,-3.392964152,0.001996143,0.015747863,-0.001416983,-0.015931995,0.098008921,-2.101787748,0.765028068,0.63768116,11185.06465,11174.60572,11004.31823,10654.90204,0.12,0.14,0.19,1.54,2.88,-0.002808989,-0.005739678,4.93,5.99,0.008218689,0.005294862,-0.004691624,-0.00149247,-0.005511737,0.003959365,0.01122182,0,-0.00630358,-0.005804915,-0.000727008,0.00327127,-0.002019162,-0.006223307,0.001674438,0.002540373,-0.001340236,0.001479564,0.008066446,0.004883133,0.002774318,2.76,2.74,2.69,0.02,0.07,1.06,3.11,5.8,5.85,5.87,0,0,0.01986755,-0.29,-0.83,-0.83,0.08,-0.42,0.21,0.03,0.31,-0.63,-0.05,0.34,0.8,-0.04,3.92,0.7,-0.06,1.29,0.28,0.04,-0.32,-0.18,-0.15,5.63,1.52,-0.03
226,14935,11178.58008,-1.732835639,-0.002228734,0.001996143,0.015747863,-0.001416983,-0.208799431,-2.00107803,0.48504992,0.130152348,11183.88564,11174.98423,11011.15203,10660.11277,0.12,0.15,0.2,1.44,2.8,-0.005021433,0.010428305,4.89,5.94,-0.002961024,-0.000658367,-0.002258666,0.000694507,0.021615035,0.033794392,-0.011713811,-0.003290036,-0.022836894,0.001556987,-0.01964347,-0.00496171,-0.010691272,-0.009070612,-0.003141644,-0.001575366,-0.003460663,0.005519952,-0.001452217,0.004100215,-0.004028262,2.68,2.65,2.6,0.03,0.08,1.05,3.14,5.74,5.79,5.82,0.052631579,-0.057692308,-0.064935065,0.24,-0.45,-0.23,-2.19,0.28,-0.22,-0.13,-0.45,-0.7,0.41,-0.27,0.24,0.98,2.57,0.7,-1.03,-0.95,-0.21,-0.02,-0.42,0.23,0.23,0.31,1.76,0.95
227,14936,11036.37012,-0.11070346,-0.012721648,-0.002228734,0.001996143,0.015747863,0.11675164,-2.735407786,-1.36163577,-1.191551288,11157.06464,11161.78289,11012.14098,10663.85662,0.15,0.15,0.2,1.4,2.77,-0.005539143,0.015481017,4.85,5.9,-0.00360402,-0.002335749,0.003208661,0.000648763,-0.014775304,-0.012852879,-0.01684348,-0.011788746,-0.022851131,-0.023707695,-0.005565937,-0.017238908,-0.024737548,-0.017515139,-0.017157571,-0.014284033,-0.02669097,-0.014640512,-0.019445872,-0.010174232,-0.018334335,2.62,2.62,2.57,0,0.05,1.05,3.13,5.7,5.75,5.75,0,-0.081632653,-0.027777778,-1.63,-0.85,-2.55,-1.28,-0.6,-1.59,-1.35,-1.86,-1.6,1.46,-2.74,-1,-1.65,-0.16,-1.85,-1.37,-0.21,-1.06,-1.65,0.88,1.26,1.27,-0.84,-1.04,0.79
228,14937,11187.28027,0.117915124,0.013673894,-0.012721648,-0.002228734,0.001996143,1.629745164,-1.49475361,-0.248321779,0.548251514,11162.55839,11164.21121,11019.00918,10669.06482,0.16,0.16,0.2,1.56,2.93,0.029954202,-0.003629764,4.98,6.03,-0.008882105,-0.000252179,0.002197673,0.000301555,0.019661173,0.053805013,0.01142132,0.006680484,0.01408448,0.009952229,0.011567239,0.013047173,0.006226523,0.013581118,0.017718092,0.014922968,0.005578178,0.019307067,0.011191972,0.023057848,0.014521896,2.77,2.77,2.73,0,0.04,1.05,3.1,5.83,5.87,5.87,0,0.177777778,0.114285714,0.99,3.11,0.74,1.49,3.21,1.55,1.28,-0.31,1.08,-0.33,0.02,0.32,1.84,0.07,1.08,0.2,0.45,2.22,1.55,-0.22,0.23,0.24,1.01,0.22,-0.17
229,14939,11091.87012,-1.377876094,-0.00852845,0.013673894,-0.012721648,-0.002228734,-0.799199625,-1.694831196,-2.999340014,-0.198669938,11149.70598,11157.32158,11021.86648,10673.27184,0.16,0.16,0.21,1.53,2.87,0.007931739,-0.012750455,4.88,5.94,-0.002868074,0.004335347,-0.012530592,0.000783805,0.000635337,-0.000282104,-0.008782936,-0.015642313,-0.017295598,-0.004730035,-0.016967945,-0.009301575,-0.005059279,0.002050538,0.003690052,-0.007468563,-0.006367715,-0.003365967,0.004112667,-0.005159395,-0.010386203,2.71,2.71,2.66,0,0.05,1.06,3.07,5.73,5.78,5.78,0.05,-0.037735849,-0.019230769,-1.61,-0.6,-0.85,-0.32,-0.12,-0.41,-1.42,-0.9,-0.51,-0.77,-0.68,-1.15,-0.56,3.09,-0.2,-1.41,-2.96,-0.67,-1.11,0.31,0.93,0.61,0.16,-3.23,-0.74
230,14942,11052.49023,-5.328636807,-0.003550338,-0.00852845,0.013673894,-0.012721648,-1.348318824,-1.251631376,-3.421767773,-0.593605774,11132.03039,11147.33764,11023.06741,10677.04516,0.16,0.18,0.21,1.51,2.84,0.022177179,0.001476015,4.84,5.88,-0.010757819,0.006301579,0.010012888,0.002786354,0.005936511,0.012923296,0.010759494,-0.006260016,0.010933333,0.002376198,0.020637936,0.003177726,-0.024590654,-0.020763172,-0.022048504,-0.001378858,0.012631357,-0.003685092,-0.001860238,-0.001064469,-0.002293194,2.68,2.66,2.63,0.02,0.05,1.04,3.04,5.67,5.7,5.72,0,0.019607843,-0.013071895,-0.16,2.06,-2.39,0.19,2.35,-1.99,0.08,-0.92,-1.83,0.27,1.55,-0.42,-0.02,-4.3,0.6,-0.75,1.81,-0.37,0.27,-0.21,0.58,0.58,0.69,1.65,0.29
231,14943,11006.01953,-0.837461624,-0.004204546,-0.003550338,-0.00852845,0.013673894,-1.543671431,-1.749247684,-3.51385939,-1.066109087,11109.11932,11133.87878,11022.39886,10680.31853,0.18,0.17,0.21,1.47,2.81,-0.01877989,0.019528371,4.79,5.84,-0.002177656,0.001152608,0.000490774,-0.001126464,-0.018051548,-0.022786845,-0.008766437,-0.005814909,-0.013452862,-0.001975464,0.000367574,0.001583888,-0.00729181,-0.004089388,-0.001415351,-0.006070217,-0.006830224,-0.010688174,-0.016109321,-0.006749098,-0.007002208,2.63,2.64,2.6,-0.01,0.03,1.05,3.03,5.63,5.67,5.66,0,-0.134615385,-0.026490066,-0.57,-1.63,-0.73,1.73,-1.89,-0.28,-0.39,-1.07,-0.44,1.39,-0.96,0.62,-1.33,-0.71,-1.68,-0.35,3.82,-0.56,-0.59,0.17,0.46,0.45,-0.25,3.54,1.2
232,14944,11255.78027,1.251940424,0.022693104,-0.004204546,-0.003550338,-0.00852845,1.988064497,2.107137234,-0.801724961,0.599358529,11135.78495,11145.48844,11031.55108,10686.04452,0.17,0.16,0.2,1.64,2.97,0.03126486,0.001445609,4.92,5.98,0.000763039,-0.006836435,0.006082606,0.000992407,0.016872891,0.006556494,0.029690398,0.014134834,0.020053475,0.030878899,0.011760456,0.025445717,0.01629998,0.020657381,0.026633761,0.021616955,0.010509851,0.020494491,0.001158815,0.022186772,0.023252784,2.8,2.81,2.77,-0.01,0.03,1.06,3.01,5.78,5.82,5.81,-0.047619048,0.177777778,0.115646259,1.19,3.43,1.55,3.22,3.14,2.41,2.16,1.26,1.81,0.17,1.07,1.12,1.96,2.13,0.5,0.84,0.72,2.12,2.12,0.01,-0.63,-0.59,7.11,1.32,0.16
233,14945,11362.41016,0.086004159,0.009473344,0.022693104,-0.004204546,-0.003550338,1.565437521,3.220695327,0.047284477,1.31322842,11176.98953,11166.14765,11044.52594,10692.77453,0.16,0.16,0.19,1.68,3.01,0.014178674,0.002526164,4.95,6,0.002715813,0.005318005,-0.007411019,-0.000585841,0.005530973,-0.000113305,0.023312946,0.002883691,0.030406263,0.032642011,0.045405011,0.002102916,0.021189385,0.022171041,0.013249583,0.012818563,0.008558289,0.011736022,0.007139481,0.010845866,0.014271946,2.85,2.85,2.82,0,0.03,1.05,2.99,5.81,5.84,5.84,-0.05,0.037735849,0.024390244,0.68,2.05,2.17,0.79,1.44,1.38,1.16,0.64,2.23,0.09,0.52,1.24,1.32,1.73,1.6,0.96,0.54,1.29,1.52,-0.99,-0.52,-0.51,1.29,0.21,-0.18
234,14946,11382.08984,4.357321751,0.001731999,0.009473344,0.022693104,-0.004204546,2.616508523,1.796397772,0.877331925,-0.461309478,11214.2805,11186.71358,11057.76374,10699.63338,0.14,0.14,0.19,1.64,3.03,0.013639464,0.010439165,5,6.05,-0.001246608,-0.004445871,-0.014343256,-0.000285577,-0.002231661,-0.00481508,0.005995264,-0.00063893,0.007631646,0.004834548,0.009381445,-0.004057093,0.000936742,-0.003866477,-0.001421415,0.002603237,-0.005469784,0.004694928,-0.000413912,0.006948843,0.005099689,2.89,2.89,2.84,0,0.05,1.05,3.02,5.86,5.91,5.91,0,-0.109090909,-0.023809524,1.73,0.8,0,0.45,1.35,-0.07,0.01,1.42,-0.3,1.22,-0.46,0.64,0.01,0.14,0.3,1.46,2.45,0.43,0.06,-1.95,-1.16,-1.15,4.31,2.91,2.2
235,14949,11362.19043,-0.947066126,-0.001748309,0.001731999,0.009473344,0.022693104,2.802085226,1.41598536,1.515382073,-0.715563396,11241.17321,11203.42566,11069.70204,10706.22599,0.14,0.15,0.19,1.53,2.95,0.001681992,0.008371927,4.93,5.97,0.011352776,-0.011570311,-0.000667796,0.000300693,0.008537027,0.013490495,-0.00476758,-0.005754476,0.007321409,-0.006661732,-0.010671222,0.001685574,-0.000351967,0.004351383,0.00095854,-0.001298239,-0.003551811,0.00133514,0.005188191,0.005869758,-0.001404893,2.81,2.8,2.76,0.01,0.05,1.04,3.02,5.78,5.82,5.83,0,-0.142857143,-0.067073171,-0.26,0.03,0.08,0.23,0.21,-0.02,-0.1,-0.81,0.41,0.7,-0.46,-0.02,0.15,3.2,-0.1,-0.65,0.58,0.3,-0.12,0.86,0.24,0.24,1.75,2.79,0.6
