Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,Powercosump
1483356000,15.08,57.23,0.076,396.6,40.66,65161.98936
1483356600,15.18,55.83,0.076,410.8,41.23,65971.65629
1483357200,15.28,56.49,0.075,425.6,41.84,66493.71033
1483357800,15.27,55.93,0.076,440.2,41.83,66412.90501
1483358400,15.21,55.69,0.077,452.5,41.73,66439.36232
1483359000,15.18,57.2,0.078,460.5,42.38,66751.70487
1483359600,15.11,57.86,0.074,469.9,43.43,67656.4594
1483360200,15.1,58.33,0.076,476.2,43.25,68440.85529
1483360800,15.26,58.8,0.076,482.3,44.1,68598.83776
1483361400,15.15,60.87,0.075,485.1,44.53,68505.08098
1483362000,15.23,60.53,0.076,487.1,44.09,68558.09361
1483362600,15.22,60.2,0.077,487.6,44.43,68557.37793
1483363200,15.22,59.83,0.076,486.9,44.29,68661.04076
1483363800,15.33,59.16,0.076,484.1,43.72,68093.79836
1483364400,15.41,58.13,0.076,481.1,43.82,67224.55389
1483365000,15.43,58,0.077,477.2,43.68,66929.80815
1483365600,15.56,56.03,0.075,470.9,42.8,66903.94716
1483366200,15.59,55.73,0.075,463.4,42.58,67189.22029
1483366800,15.47,56.29,0.077,451.8,42.83,67266.15436
1483367400,15.55,55.99,0.074,441.9,41.88,67013.73133
1483368000,15.57,56.53,0.076,427.9,42.14,66888.96288
1483368600,15.64,55.35,0.077,413.9,41.5,67026.26294
1483369200,15.59,55.76,0.077,399.4,40.61,66924.7465
1483369800,15.58,57.03,0.077,381.1,42.48,66874.55044
1483370400,15.49,57.19,0.075,364.3,45.96,66959.54274
1483371000,15.45,57.86,0.075,345.8,57.35,67248.40723
1483371600,15.36,57.72,0.075,324.6,79.5,66660.08636
1483372200,15.38,58.02,0.074,302.9,121.3,66237.93626
1483372800,15.37,58.59,0.077,280.3,184,65870.96079
1483373400,15.23,59.76,0.077,260.6,238,66077.75912
1483374000,15.23,61.12,0.075,238.2,253.4,66273.2613
1483374600,15.24,61.63,0.075,216.8,248.1,67021.12619
1483375200,15.19,61.72,0.075,192,227.3,68022.64788
1483375800,15.17,61.76,0.077,165.5,200.6,68645.96893
1483376400,15.22,59.95,0.076,142.6,175,71615.69437
1483377000,15.17,61.92,0.076,119.9,148.2,75529.71851
1483377600,15.02,62.32,0.076,98.7,123.7,82359.88673
1483378200,14.9,61.82,0.079,77.5,98.6,88115.50671
1483378800,14.81,61.79,0.078,58.1,75.3,92147.30074
1483379400,14.68,62.05,0.079,22.4,25.24,93917.33291
1483380000,14.54,64.02,0.074,11.04,11.2,94348.46732
1483380600,14.38,64.55,0.077,6.504,6.524,94427.40849
1483381200,14.23,65.55,0.076,3.071,3.089,94181.57674
1483381800,14.11,65.79,0.081,0.933,0.946,94225.64779
1483382400,14.03,66.72,0.074,0.143,0.189,94170.71547
1483383000,13.95,67.52,0.074,0.037,0.119,94105.14376
1483383600,13.87,68.59,0.075,0.066,0.1,93671.67393
1483384200,13.74,69.46,0.074,0.081,0.093,94109.17778
1483384800,13.55,69.9,0.076,0.029,0.104,94463.96087
1483385400,13.43,69.86,0.076,0.04,0.108,94020.57865
1483386000,13.35,69.86,0.076,0.073,0.078,93673.39668
1483386600,13.2,70.5,0.076,0.055,0.122,93470.48318
1483387200,13.42,68.89,0.073,0.055,0.096,92824.30684
1483387800,13.55,68.12,0.077,0.055,0.074,93854.45271
1483388400,13.42,68.52,0.075,0.055,0.093,94175.38565
1483389000,13.3,69.03,0.075,0.055,0.093,93673.20265
1483389600,13.33,68.72,0.076,0.066,0.108,93419.65598
1483390200,13.45,68.59,0.075,0.066,0.122,93181.9321
1483390800,13.47,66.99,0.074,0.048,0.078,93013.7906
1483391400,13.29,66.99,0.075,0.051,0.067,92303.40849
1483392000,13.15,66.42,0.078,0.055,0.093,91042.55276
1483392600,13.03,66.62,0.074,0.07,0.085,89706.63647
1483393200,12.93,67.29,0.076,0.07,0.111,88702.83409
1483393800,12.88,67.46,0.075,0.051,0.119,87261.46257
1483394400,12.86,67.76,0.074,0.084,0.093,86339.22749
1483395000,12.87,67.96,0.075,0.066,0.134,84736.7889
1483395600,12.92,68.52,0.074,0.037,0.148,83110.00748
1483396200,12.96,68.62,0.075,0.102,0.063,81361.91521
1483396800,12.88,69.33,0.075,0.062,0.152,79859.87587
1483397400,12.77,69.86,0.075,0.11,0.1,77908.22696
1483398000,12.82,70.1,0.075,0.077,0.1,75705.27933
1483398600,12.75,70.4,0.071,0.051,0.152,73809.4028
1483399200,12.54,71.5,0.077,0.051,0.1,71126.91075
1483399800,12.23,72.9,0.077,0.059,0.111,69323.29276
1483400400,12.19,72.8,0.077,0.07,0.122,67092.59229
1483401000,12.31,72.6,0.072,0.044,0.152,65503.69505
1483401600,12.08,74,0.076,0.117,0.093,63313.49419
1483402200,12.16,74,0.072,0.07,0.141,61871.81917
1483402800,12.07,74.1,0.074,0.102,0.119,60233.88011
1483403400,11.48,76.8,0.077,0.07,0.145,58949.68793
1483404000,11.45,77.7,0.074,0.073,0.115,57754.89799
1483404600,11.8,76.6,0.076,0.018,0.23,55906.82524
1483405200,12.23,75.1,0.074,0.062,0.145,54890.8831
1483405800,12.39,71,0.078,0.062,0.148,54299.18916
1483406400,12.42,71.4,0.077,0.059,0.159,53344.82522
1483407000,12.4,71.5,0.075,0.062,0.156,52332.62862
1483407600,11.84,73.4,0.079,0.073,0.152,51879.53228
1483408200,11.51,73,0.076,0.044,0.148,51519.01011
1483408800,11.35,73.6,0.081,0.095,0.134,50704.92178
1483409400,11.27,73.8,0.077,0.055,0.159,49998.30725
1483410000,11.33,74.5,0.073,0.044,0.13,49870.0606
1483410600,11.44,75,0.078,0.081,0.119,49499.58978
1483411200,12.26,75.5,0.076,0.073,0.163,49055.89484
1483411800,13.08,70.9,0.076,0.062,0.174,48938.29262
1483412400,12.78,71.8,0.078,0.055,0.156,48693.96466
1483413000,12.34,73.2,0.076,0.088,0.152,48414.05814
1483413600,12.2,73.8,0.072,0.084,0.178,48158.61383
1483414200,12.04,74.7,0.077,0.077,0.134,47525.26881
1483414800,11.96,74.9,0.077,0.07,0.137,47506.1149
1483415400,11.92,75.2,0.077,0.059,0.182,47279.00562
1483416000,11.85,75.1,0.083,0.077,0.156,47258.07345
1483416600,11.66,75.5,0.084,0.07,0.156,47182.43504
1483417200,11.55,76.1,0.077,0.055,0.156,47256.27105
1483417800,11.6,75.1,0.081,0.073,0.137,47470.82758
1483418400,11.17,77.8,0.076,0.077,0.148,47341.5703
1483419000,10.83,78.5,0.076,0.066,0.148,47505.28974
1483419600,10.74,78.6,0.077,0.048,0.189,47819.37841
1483420200,10.57,80.3,0.081,0.04,0.152,48019.30688
1483420800,10.49,80.3,0.08,0.084,0.141,48532.24167
1483421400,10.69,81.6,0.078,0.073,0.074,48898.80283
1483422000,11.22,80,0.076,0.077,0.171,49900.54482
1483422600,11.36,77.9,0.077,0.062,0.174,51581.15838
1483423200,11.44,77.5,0.079,0.102,0.122,53232.19309
1483423800,11.49,76.7,0.073,0.084,0.159,53580.18176
1483424400,11.33,76.8,0.075,0.062,0.145,54281.17881
1483425000,11.16,77.3,0.082,0.048,0.163,54972.30609
1483425600,10.89,77.5,0.082,0.099,0.111,55166.23105
1483426200,10.27,80.2,0.078,0.077,0.148,55014.59388
1483426800,10.15,80.8,0.08,0.055,0.193,54910.89476
1483427400,10,81.6,0.077,0.062,0.145,55271.01031
1483428000,9.9,81.5,0.076,0.048,0.171,54619.98035
1483428600,9.67,81.6,0.08,0.084,0.145,53077.04466
1483429200,9.27,81.5,0.08,0.059,0.167,51678.96164
1483429800,9.03,81.8,0.079,0.07,0.122,51055.33644
1483430400,8.85,82.7,0.082,0.146,0.223,51622.24473
1483431000,8.68,83.1,0.083,0.834,0.849,52609.84406
1483431600,8.54,83.7,0.078,2.88,2.815,53470.32104
1483432200,8.38,84.9,0.081,6.306,6.119,54503.85489
1483432800,8.5,84.9,0.079,12.91,11.68,55877.06128
1483433400,8.48,85.7,0.082,38,20.54,56923.65897
1483434000,8.4,85.3,0.082,64.8,27.42,58278.37807
1483434600,8.51,85.5,0.083,85.3,33.31,59821.74441
1483435200,8.8,85,0.084,109.4,38.03,60588.65719
1483435800,9.09,84.1,0.081,135.3,40,61407.68356
1483436400,9.62,84.5,0.082,161.3,41.16,62413.23506
1483437000,10.89,85.9,0.085,191.6,40.65,62748.84576
1483437600,12.43,83.3,0.079,220.3,41.27,63671.03679
1483438200,13.02,77.5,0.084,245.9,42.92,65006.77686
1483438800,13.38,74.4,0.078,269.7,43.12,65899.05073
1483439400,13.64,73.2,0.079,294.9,43.18,66801.39273
1483440000,13.88,72.2,0.084,319,43.25,67892.07349
1483440600,14.16,72.3,0.081,339.3,43.08,68615.21804
1483441200,14.54,69.24,0.084,361.2,43.97,69293.29795
1483441800,14.75,67.1,0.078,380.3,44.96,69857.96819
1483442400,14.87,66.57,0.08,397.2,45.17,70039.69374
1483443000,15,65.1,0.083,413.4,44.82,70488.9067
1483443600,15.08,64.4,0.079,428.2,44.18,70782.64248
1483444200,15.18,64.23,0.077,440.5,45.02,70688.01714
1483444800,15.28,64.43,0.074,452.5,44.71,70962.72338
1483445400,15.19,63.6,0.074,462.8,45.04,71946.43932
1483446000,15.18,64.77,0.075,470.7,44.71,72266.45331
1483446600,15.21,65.33,0.076,478,45.15,72521.06111
1483447200,15.31,64.2,0.074,484,44.76,72957.7171
1483447800,15.35,63.13,0.073,488.8,44.76,73105.31881
1483448400,15.43,62.93,0.073,492.7,44.55,72646.50331
1483449000,15.39,62.9,0.074,493.3,44.78,72532.17112
1483449600,15.41,62.83,0.074,491.9,44.84,72085.87633
1483450200,15.57,62.7,0.077,490.1,44.76,71690.28156
1483450800,15.37,63.4,0.076,487.1,44.94,71565.25734
1483451400,15.49,63.46,0.075,480.4,45.25,71449.04598
1483452000,15.57,63.7,0.073,472.9,45.01,70940.57378
1483452600,15.48,63.76,0.075,465.8,44.23,71022.62289
1483453200,15.36,64.16,0.073,455.2,44.07,70447.45531
1483453800,15.35,64.19,0.074,443.9,43.33,70359.28396
1483454400,15.41,64.1,0.074,430.9,43.09,70404.68125
1483455000,15.36,65.23,0.075,415.4,43.03,70098.18023
1483455600,15.44,64.86,0.075,401.3,43.02,70042.32831
1483456200,15.48,64.1,0.075,385.4,45.37,70496.2555
1483456800,15.45,64.86,0.076,366.1,53.46,70321.57111
1483457400,15.44,64.93,0.074,348.4,72.7,70411.65278
1483458000,15.34,65.3,0.075,328.3,104.5,70184.43971
1483458600,15.3,65.83,0.075,306.7,155.7,69628.03521
1483459200,15.34,66.4,0.075,283.3,215.7,69219.86067
1483459800,15.34,66.83,0.071,259.9,256.6,69378.81827
1483460400,15.23,67.66,0.076,234.7,257.7,69331.43734
1483461000,15.18,67.73,0.075,208.8,240.7,69744.97293
1483461600,15.09,67.66,0.076,184.9,218.7,70200.86026
1483462200,14.96,66.19,0.077,160.4,193.2,71399.48173
1483462800,14.94,64.99,0.075,131.7,166.5,73018.66917
1483463400,14.89,65.45,0.073,115.7,142.4,76758.70682
1483464000,14.85,65.55,0.077,97.1,121.2,81812.88997
1483464600,14.78,65.82,0.075,77.8,98.6,88599.78315
1483465200,14.68,67.22,0.073,58.28,75.3,93077.06384
1483465800,14.51,68.26,0.077,26.56,31.14,94671.34549
1483466400,14.32,69.56,0.075,11.76,11.93,95052.38619
1483467000,14.14,70.9,0.076,6.804,6.887,95595.38799
1483467600,13.98,72.1,0.076,3.327,3.349,95910.24641
1483468200,13.86,73,0.074,1.014,1.087,95972.68604
1483468800,13.45,73.7,0.075,0.209,0.189,95729.8748
1483469400,12.2,77.3,0.076,0.059,0.115,95648.65083
1483470000,11.85,78.2,0.074,0.066,0.111,95392.17455
1483470600,11.53,79,0.078,0.073,0.093,95938.30565
1483471200,11.25,80,0.075,0.059,0.111,95810.39587
1483471800,11.12,80.5,0.074,0.073,0.115,95642.2053
1483472400,10.92,81.2,0.076,0.051,0.085,95163.81302
1483473000,10.93,81.3,0.079,0.059,0.074,94966.22139
1483473600,10.69,81.5,0.077,0.055,0.093,94671.04356
1483474200,10.39,81.5,0.078,0.088,0.089,95643.71489
1483474800,10.17,83.1,0.074,0.084,0.067,95895.39875
1483475400,10.03,82.9,0.075,0.081,0.1,95652.99547
1483476000,9.61,83.9,0.076,0.066,0.108,95614.85964
1483476600,9.71,84.2,0.075,0.062,0.096,95028.28643
1483477200,9.62,83.4,0.074,0.055,0.082,94240.61983
1483477800,9.49,83.5,0.073,0.037,0.111,93361.44016
1483478400,9.33,83.7,0.076,0.066,0.067,92423.80805
1483479000,9.23,83.9,0.074,0.059,0.1,91335.91753
1483479600,9.14,84,0.073,0.055,0.085,90030.02629
1483480200,9.11,83.8,0.073,0.081,0.078,88619.2982
1483480800,9.07,83.8,0.073,0.073,0.089,87116.29295
1483481400,9,83.9,0.072,0.051,0.108,85895.93339
1483482000,9.05,84,0.072,0.062,0.093,84143.42195
1483482600,8.98,83.6,0.073,0.062,0.059,82329.1759
1483483200,8.81,83.9,0.075,0.051,0.104,80214.17278
1483483800,8.72,84,0.076,0.062,0.115,78286.9229
1483484400,8.51,84.3,0.075,0.062,0.104,75512.51919
1483485000,8.52,85,0.075,0.073,0.078,73361.87776
1483485600,8.6,84.4,0.074,0.048,0.104,71752.85147
1483486200,8.49,84.5,0.077,0.04,0.159,69890.15701
1483486800,8.33,84.7,0.076,0.059,0.059,68140.35624
1483487400,8.5,84.7,0.073,0.077,0.059,66483.43671
1483488000,8.52,83.7,0.077,0.062,0.104,64446.87302
1483488600,8.63,83.5,0.073,0.044,0.111,63228.8709
1483489200,8.69,82.8,0.076,0.044,0.126,61797.37839
1483489800,8.77,82.3,0.075,0.055,0.082,60695.37302
1483490400,8.36,82,0.078,0.055,0.108,59258.31264
1483491000,8.17,82.7,0.075,0.062,0.111,57437.41712
1483491600,8.13,82.4,0.074,0.037,0.1,55701.17904
1483492200,8.14,82.3,0.074,0.073,0.093,54919.07173
1483492800,8.15,82.2,0.076,0.077,0.074,53986.67839
1483493400,8.33,82.2,0.075,0.062,0.082,53442.55085
1483494000,8.36,81.4,0.076,0.073,0.093,52522.93408
1483494600,8.23,80.7,0.076,0.059,0.089,51996.07493
1483495200,8.13,81.2,0.075,0.059,0.119,51371.21737
1483495800,8.04,81.2,0.075,0.066,0.115,51016.83724
1483496400,7.87,81.8,0.074,0.073,0.119,50491.2673
1483497000,7.91,81.8,0.078,0.07,0.111,49724.53285
1483497600,7.9,81.8,0.077,0.077,0.1,49601.92649
1483498200,7.88,81.6,0.077,0.077,0.13,49523.00812
1483498800,7.89,81.2,0.074,0.066,0.07,49194.4051
1483499400,7.94,81.2,0.074,0.062,0.13,48827.81623
